Station,Time,水质类别,Temp,pH,DO,EC,Turbidity,CODMn,NH3N,TP,TN,叶绿素α(mg/L),Cell,Date
兰山嘴,2021-06-17 12:00:00,Ⅳ,27.8,8.67,7.14,407.5,55.8,3.55,0.025,0.07,0.73,0.006,19077900.0,2021-06-17
兰山嘴,2021-06-17 16:00:00,Ⅳ,28.5,8.91,9.5,402.6,47.2,3.43,0.025,0.061,0.68,0.007,18366600.0,2021-06-17
兰山嘴,2021-06-18 00:00:00,Ⅳ,28.0,8.68,7.24,403.9,37.2,3.08,0.025,0.055,0.68,0.007,5635800.0,2021-06-18
兰山嘴,2021-06-18 04:00:00,Ⅳ,27.8,8.62,6.72,403.4,95.7,3.07,0.025,0.051,0.63,0.009,42555400.0,2021-06-18
兰山嘴,2021-06-18 08:00:00,Ⅳ,27.7,8.67,6.96,401.7,51.4,3.07,0.025,0.051,0.63,0.007,24563700.0,2021-06-18
兰山嘴,2021-06-18 12:00:00,Ⅳ,27.8,8.74,7.79,399.3,62.7,3.19,0.025,0.051,0.67,0.007,46762300.0,2021-06-18
兰山嘴,2021-06-18 16:00:00,Ⅳ,27.7,8.65,7.74,399.6,39.2,3.57,0.033,0.09,0.83,0.005,18755300.0,2021-06-18
兰山嘴,2021-06-18 20:00:00,Ⅳ,27.4,8.57,7.35,399.3,57.6,3.57,0.033,0.09,0.83,0.006,7964410.0,2021-06-18
兰山嘴,2021-06-19 00:00:00,Ⅳ,27.0,8.58,7.22,399.0,54.4,3.6,0.044,0.08,0.73,0.005,6180790.0,2021-06-19
兰山嘴,2021-06-19 04:00:00,Ⅳ,26.7,8.55,7.13,398.5,49.0,3.37,0.043,0.072,0.75,0.005,17235100.0,2021-06-19
兰山嘴,2021-06-19 08:00:00,Ⅳ,26.6,8.42,6.84,397.5,46.6,3.37,0.043,0.072,0.75,0.006,16257600.0,2021-06-19
兰山嘴,2021-06-19 12:00:00,Ⅳ,26.4,8.38,7.01,396.6,44.9,3.5,0.035,0.068,0.75,0.005,9381700.0,2021-06-19
兰山嘴,2021-06-19 16:00:00,Ⅳ,26.1,8.59,7.51,400.0,67.8,3.6,0.025,0.081,0.66,0.006,27404500.0,2021-06-19
兰山嘴,2021-06-19 20:00:00,Ⅳ,26.1,8.57,7.38,401.2,61.6,3.18,0.025,0.069,0.64,0.006,25832100.0,2021-06-19
兰山嘴,2021-06-20 00:00:00,Ⅳ,25.8,8.44,6.86,404.9,45.7,3.18,0.025,0.071,0.68,0.006,9781430.0,2021-06-20
兰山嘴,2021-06-20 08:00:00,Ⅳ,25.8,8.38,6.54,404.2,30.8,3.04,0.025,0.065,0.7,0.006,6931520.0,2021-06-20
兰山嘴,2021-06-20 12:00:00,Ⅳ,26.4,8.73,7.83,399.5,27.3,2.9,0.025,0.068,0.67,0.006,2832140.0,2021-06-20
兰山嘴,2021-06-20 16:00:00,Ⅳ,27.2,8.78,8.78,403.4,34.5,2.92,0.025,0.069,0.68,0.006,11082700.0,2021-06-20
兰山嘴,2021-07-02 12:00:00,Ⅲ,28.6,8.46,8.56,403.7,46.3,2.64,0.03,0.026,0.36,0.003,20301400.0,2021-07-02
兰山嘴,2021-07-02 16:00:00,Ⅲ,28.6,8.52,8.77,400.9,41.1,2.56,0.028,0.026,0.43,0.003,18633200.0,2021-07-02
兰山嘴,2021-07-02 20:00:00,Ⅲ,28.4,8.45,8.33,397.2,42.6,2.65,0.027,0.027,0.45,0.003,18819000.0,2021-07-02
兰山嘴,2021-07-03 00:00:00,Ⅲ,28.3,8.41,7.96,399.6,45.6,2.65,0.027,0.03,0.76,0.003,22095800.0,2021-07-03
兰山嘴,2021-07-03 04:00:00,Ⅲ,28.1,8.2,7.34,398.6,50.3,2.65,0.033,0.038,0.82,0.003,22430300.0,2021-07-03
兰山嘴,2021-07-03 08:00:00,Ⅲ,28.0,8.15,7.23,394.7,60.6,2.92,0.031,0.034,0.9,0.003,18675000.0,2021-07-03
兰山嘴,2021-07-03 12:00:00,Ⅲ,28.3,8.27,8.07,389.0,55.7,2.95,0.03,0.034,0.92,0.004,21432900.0,2021-07-03
兰山嘴,2021-07-03 16:00:00,Ⅲ,28.2,8.25,7.96,388.6,56.3,3.17,0.026,0.038,0.96,0.004,17774700.0,2021-07-03
兰山嘴,2021-07-03 20:00:00,Ⅲ,28.0,8.26,7.83,391.9,44.8,2.98,0.027,0.032,0.88,0.004,16210300.0,2021-07-03
兰山嘴,2021-07-04 00:00:00,Ⅲ,27.9,8.25,7.6,392.8,41.4,2.7,0.025,0.03,0.52,0.005,14823900.0,2021-07-04
