Station,Date,Cell,Temp,pH,DO,TN,TP,Turbidity,EC,CODMn,NH3N
兰山嘴,2021/6/17,18722250,28.15,8.79,8.32,0.705,0.0655,51.5,405.05,3.49,0.025
兰山嘴,2021/6/18,24372818.33,27.73333333,8.655,7.3,0.711666667,0.064666667,57.3,401.2,3.258333333,0.027666667
兰山嘴,2021/6/19,17048631.67,26.48333333,8.515,7.181666667,0.713333333,0.073666667,54.05,398.8,3.436666667,0.035833333
兰山嘴,2021/6/20,7656947.5,26.3,8.5825,7.5025,0.6825,0.06825,34.575,403,3.01,0.025
兰山嘴,2021/7/2,19251200,28.53333333,8.476666667,8.553333333,0.413333333,0.026333333,43.33333333,400.6,2.616666667,0.028333333
兰山嘴,2021/7/3,19769833.33,28.15,8.256666667,7.731666667,0.873333333,0.034333333,52.21666667,393.7333333,2.886666667,0.029
兰山嘴,2021/7/4,17092416.67,27.58333333,8.135,7.363333333,0.688333333,0.031833333,48.08333333,393.1333333,2.86,0.026166667
兰山嘴,2021/7/5,13278316.67,28,8.095,7.683333333,0.995,0.040833333,47.71666667,389.1666667,2.936666667,0.026666667
兰山嘴,2021/7/6,14391680,28.5,8.148,8.126,0.935,0.047,36.56,396.2,2.824,0.0252
兰山嘴,2021/7/7,33432750,31.05,8.83,11.95,1.240833333,0.063,49.1,395.35,2.83,0.025
兰山嘴,2021/7/26,24794233.33,26.86666667,7.7,7.026666667,1.546666667,0.213333333,226.9666667,398.4,6.21,0.025
兰山嘴,2021/7/27,17002516.67,26.61666667,7.631666667,7.016666667,1.29,0.235333333,211.4333333,403.45,5.613333333,0.025
兰山嘴,2021/7/28,19396533.33,26.81666667,7.678333333,7.173333333,1.28,0.2105,194.9666667,406.9666667,5.083333333,0.025
兰山嘴,2021/7/29,10406878.33,27.98333333,7.678333333,6.831666667,1.213333333,0.131333333,100.65,413.0666667,3.945,0.025
兰山嘴,2021/7/30,6948348,29.46,7.696,6.624,1.288,0.0962,52.32,409.86,3.024,0.025
