Station,Date,Cell,Temp,pH,DO,TN,TP,Turbidity,EC,CODMn,NH3N,Temp_lag0,Temp_lag1,Temp_lag2,Temp_lag3,Temp_lag4,Temp_lag5,Temp_lag6,Temp_lag7,Temp_lag8,Temp_lag9,Temp_lag10,Temp_lag11,Temp_lag12,Temp_lag13,Temp_lag14,pH_lag0,pH_lag1,pH_lag2,pH_lag3,pH_lag4,pH_lag5,pH_lag6,pH_lag7,pH_lag8,pH_lag9,pH_lag10,pH_lag11,pH_lag12,pH_lag13,pH_lag14,DO_lag0,DO_lag1,DO_lag2,DO_lag3,DO_lag4,DO_lag5,DO_lag6,DO_lag7,DO_lag8,DO_lag9,DO_lag10,DO_lag11,DO_lag12,DO_lag13,DO_lag14,TN_lag0,TN_lag1,TN_lag2,TN_lag3,TN_lag4,TN_lag5,TN_lag6,TN_lag7,TN_lag8,TN_lag9,TN_lag10,TN_lag11,TN_lag12,TN_lag13,TN_lag14,TP_lag0,TP_lag1,TP_lag2,TP_lag3,TP_lag4,TP_lag5,TP_lag6,TP_lag7,TP_lag8,TP_lag9,TP_lag10,TP_lag11,TP_lag12,TP_lag13,TP_lag14,Turbidity_lag0,Turbidity_lag1,Turbidity_lag2,Turbidity_lag3,Turbidity_lag4,Turbidity_lag5,Turbidity_lag6,Turbidity_lag7,Turbidity_lag8,Turbidity_lag9,Turbidity_lag10,Turbidity_lag11,Turbidity_lag12,Turbidity_lag13,Turbidity_lag14,EC_lag0,EC_lag1,EC_lag2,EC_lag3,EC_lag4,EC_lag5,EC_lag6,EC_lag7,EC_lag8,EC_lag9,EC_lag10,EC_lag11,EC_lag12,EC_lag13,EC_lag14,CODMn_lag0,CODMn_lag1,CODMn_lag2,CODMn_lag3,CODMn_lag4,CODMn_lag5,CODMn_lag6,CODMn_lag7,CODMn_lag8,CODMn_lag9,CODMn_lag10,CODMn_lag11,CODMn_lag12,CODMn_lag13,CODMn_lag14,NH3N_lag0,NH3N_lag1,NH3N_lag2,NH3N_lag3,NH3N_lag4,NH3N_lag5,NH3N_lag6,NH3N_lag7,NH3N_lag8,NH3N_lag9,NH3N_lag10,NH3N_lag11,NH3N_lag12,NH3N_lag13,NH3N_lag14,y
兰山嘴,2021/7/30,6948348,29.46,7.696,6.624,1.288,0.0962,52.32,409.86,3.024,0.025,29.46,27.98333333,26.81666667,26.61666667,26.86666667,31.05,28.5,28,27.58333333,28.15,28.53333333,26.3,26.48333333,27.73333333,28.15,7.696,7.678333333,7.678333333,7.631666667,7.7,8.83,8.148,8.095,8.135,8.256666667,8.476666667,8.5825,8.515,8.655,8.79,6.624,6.831666667,7.173333333,7.016666667,7.026666667,11.95,8.126,7.683333333,7.363333333,7.731666667,8.553333333,7.5025,7.181666667,7.3,8.32,1.288,1.213333333,1.28,1.29,1.546666667,1.240833333,0.935,0.995,0.688333333,0.873333333,0.413333333,0.6825,0.713333333,0.711666667,0.705,0.0962,0.131333333,0.2105,0.235333333,0.213333333,0.063,0.047,0.040833333,0.031833333,0.034333333,0.026333333,0.06825,0.073666667,0.064666667,0.0655,52.32,100.65,194.9666667,211.4333333,226.9666667,49.1,36.56,47.71666667,48.08333333,52.21666667,43.33333333,34.575,54.05,57.3,51.5,409.86,413.0666667,406.9666667,403.45,398.4,395.35,396.2,389.1666667,393.1333333,393.7333333,400.6,403,398.8,401.2,405.05,3.024,3.945,5.083333333,5.613333333,6.21,2.83,2.824,2.936666667,2.86,2.886666667,2.616666667,3.01,3.436666667,3.258333333,3.49,0.025,0.025,0.025,0.025,0.025,0.025,0.0252,0.026666667,0.026166667,0.029,0.028333333,0.025,0.035833333,0.027666667,0.025,15.75401464
兰山嘴,2021/8/6,7720880,29.8,7.41,6.5,2.12,0.104,95.4,249.1,3.03,0.025,29.8,29.46,27.98333333,26.81666667,26.61666667,26.86666667,31.05,28.5,28,27.58333333,28.15,28.53333333,26.3,26.48333333,27.73333333,7.41,7.696,7.678333333,7.678333333,7.631666667,7.7,8.83,8.148,8.095,8.135,8.256666667,8.476666667,8.5825,8.515,8.655,6.5,6.624,6.831666667,7.173333333,7.016666667,7.026666667,11.95,8.126,7.683333333,7.363333333,7.731666667,8.553333333,7.5025,7.181666667,7.3,2.12,1.288,1.213333333,1.28,1.29,1.546666667,1.240833333,0.935,0.995,0.688333333,0.873333333,0.413333333,0.6825,0.713333333,0.711666667,0.104,0.0962,0.131333333,0.2105,0.235333333,0.213333333,0.063,0.047,0.040833333,0.031833333,0.034333333,0.026333333,0.06825,0.073666667,0.064666667,95.4,52.32,100.65,194.9666667,211.4333333,226.9666667,49.1,36.56,47.71666667,48.08333333,52.21666667,43.33333333,34.575,54.05,57.3,249.1,409.86,413.0666667,406.9666667,403.45,398.4,395.35,396.2,389.1666667,393.1333333,393.7333333,400.6,403,398.8,401.2,3.03,3.024,3.945,5.083333333,5.613333333,6.21,2.83,2.824,2.936666667,2.86,2.886666667,2.616666667,3.01,3.436666667,3.258333333,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.0252,0.026666667,0.026166667,0.029,0.028333333,0.025,0.035833333,0.027666667,15.85943903
兰山嘴,2021/9/23,15682136.67,28.5,8.57,9.79,0.926666667,0.079,213.4,270.0333333,3.123333333,0.027,28.5,29.8,29.46,27.98333333,26.81666667,26.61666667,26.86666667,31.05,28.5,28,27.58333333,28.15,28.53333333,26.3,26.48333333,8.57,7.41,7.696,7.678333333,7.678333333,7.631666667,7.7,8.83,8.148,8.095,8.135,8.256666667,8.476666667,8.5825,8.515,9.79,6.5,6.624,6.831666667,7.173333333,7.016666667,7.026666667,11.95,8.126,7.683333333,7.363333333,7.731666667,8.553333333,7.5025,7.181666667,0.926666667,2.12,1.288,1.213333333,1.28,1.29,1.546666667,1.240833333,0.935,0.995,0.688333333,0.873333333,0.413333333,0.6825,0.713333333,0.079,0.104,0.0962,0.131333333,0.2105,0.235333333,0.213333333,0.063,0.047,0.040833333,0.031833333,0.034333333,0.026333333,0.06825,0.073666667,213.4,95.4,52.32,100.65,194.9666667,211.4333333,226.9666667,49.1,36.56,47.71666667,48.08333333,52.21666667,43.33333333,34.575,54.05,270.0333333,249.1,409.86,413.0666667,406.9666667,403.45,398.4,395.35,396.2,389.1666667,393.1333333,393.7333333,400.6,403,398.8,3.123333333,3.03,3.024,3.945,5.083333333,5.613333333,6.21,2.83,2.824,2.936666667,2.86,2.886666667,2.616666667,3.01,3.436666667,0.027,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.0252,0.026666667,0.026166667,0.029,0.028333333,0.025,0.035833333,16.56803289
兰山嘴,2021/9/24,11687650,27.65,8.285,8.25,0.96,0.092,77.8,275.6,3.395,0.0265,27.65,28.5,29.8,29.46,27.98333333,26.81666667,26.61666667,26.86666667,31.05,28.5,28,27.58333333,28.15,28.53333333,26.3,8.285,8.57,7.41,7.696,7.678333333,7.678333333,7.631666667,7.7,8.83,8.148,8.095,8.135,8.256666667,8.476666667,8.5825,8.25,9.79,6.5,6.624,6.831666667,7.173333333,7.016666667,7.026666667,11.95,8.126,7.683333333,7.363333333,7.731666667,8.553333333,7.5025,0.96,0.926666667,2.12,1.288,1.213333333,1.28,1.29,1.546666667,1.240833333,0.935,0.995,0.688333333,0.873333333,0.413333333,0.6825,0.092,0.079,0.104,0.0962,0.131333333,0.2105,0.235333333,0.213333333,0.063,0.047,0.040833333,0.031833333,0.034333333,0.026333333,0.06825,77.8,213.4,95.4,52.32,100.65,194.9666667,211.4333333,226.9666667,49.1,36.56,47.71666667,48.08333333,52.21666667,43.33333333,34.575,275.6,270.0333333,249.1,409.86,413.0666667,406.9666667,403.45,398.4,395.35,396.2,389.1666667,393.1333333,393.7333333,400.6,403,3.395,3.123333333,3.03,3.024,3.945,5.083333333,5.613333333,6.21,2.83,2.824,2.936666667,2.86,2.886666667,2.616666667,3.01,0.0265,0.027,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.0252,0.026666667,0.026166667,0.029,0.028333333,0.025,16.27404337
兰山嘴,2021/10/28,4940380,19.63333333,8.346666667,10.47,0.8,0.041333333,47.33333333,324.8,3.116666667,0.025,19.63333333,27.65,28.5,29.8,29.46,27.98333333,26.81666667,26.61666667,26.86666667,31.05,28.5,28,27.58333333,28.15,28.53333333,8.346666667,8.285,8.57,7.41,7.696,7.678333333,7.678333333,7.631666667,7.7,8.83,8.148,8.095,8.135,8.256666667,8.476666667,10.47,8.25,9.79,6.5,6.624,6.831666667,7.173333333,7.016666667,7.026666667,11.95,8.126,7.683333333,7.363333333,7.731666667,8.553333333,0.8,0.96,0.926666667,2.12,1.288,1.213333333,1.28,1.29,1.546666667,1.240833333,0.935,0.995,0.688333333,0.873333333,0.413333333,0.041333333,0.092,0.079,0.104,0.0962,0.131333333,0.2105,0.235333333,0.213333333,0.063,0.047,0.040833333,0.031833333,0.034333333,0.026333333,47.33333333,77.8,213.4,95.4,52.32,100.65,194.9666667,211.4333333,226.9666667,49.1,36.56,47.71666667,48.08333333,52.21666667,43.33333333,324.8,275.6,270.0333333,249.1,409.86,413.0666667,406.9666667,403.45,398.4,395.35,396.2,389.1666667,393.1333333,393.7333333,400.6,3.116666667,3.395,3.123333333,3.03,3.024,3.945,5.083333333,5.613333333,6.21,2.83,2.824,2.936666667,2.86,2.886666667,2.616666667,0.025,0.0265,0.027,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.0252,0.026666667,0.026166667,0.029,0.028333333,15.41295301
兰山嘴,2021/10/29,6656800,18.825,8.0925,9.8925,0.865,0.04075,45.9,327.45,3.22,0.025,18.825,19.63333333,27.65,28.5,29.8,29.46,27.98333333,26.81666667,26.61666667,26.86666667,31.05,28.5,28,27.58333333,28.15,8.0925,8.346666667,8.285,8.57,7.41,7.696,7.678333333,7.678333333,7.631666667,7.7,8.83,8.148,8.095,8.135,8.256666667,9.8925,10.47,8.25,9.79,6.5,6.624,6.831666667,7.173333333,7.016666667,7.026666667,11.95,8.126,7.683333333,7.363333333,7.731666667,0.865,0.8,0.96,0.926666667,2.12,1.288,1.213333333,1.28,1.29,1.546666667,1.240833333,0.935,0.995,0.688333333,0.873333333,0.04075,0.041333333,0.092,0.079,0.104,0.0962,0.131333333,0.2105,0.235333333,0.213333333,0.063,0.047,0.040833333,0.031833333,0.034333333,45.9,47.33333333,77.8,213.4,95.4,52.32,100.65,194.9666667,211.4333333,226.9666667,49.1,36.56,47.71666667,48.08333333,52.21666667,327.45,324.8,275.6,270.0333333,249.1,409.86,413.0666667,406.9666667,403.45,398.4,395.35,396.2,389.1666667,393.1333333,393.7333333,3.22,3.116666667,3.395,3.123333333,3.03,3.024,3.945,5.083333333,5.613333333,6.21,2.83,2.824,2.936666667,2.86,2.886666667,0.025,0.025,0.0265,0.027,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.0252,0.026666667,0.026166667,0.029,15.7111496
兰山嘴,2021/11/5,8137400,19.725,7.97,8.7225,1.1375,0.03475,61.55,332.775,3.665,0.025,19.725,18.825,19.63333333,27.65,28.5,29.8,29.46,27.98333333,26.81666667,26.61666667,26.86666667,31.05,28.5,28,27.58333333,7.97,8.0925,8.346666667,8.285,8.57,7.41,7.696,7.678333333,7.678333333,7.631666667,7.7,8.83,8.148,8.095,8.135,8.7225,9.8925,10.47,8.25,9.79,6.5,6.624,6.831666667,7.173333333,7.016666667,7.026666667,11.95,8.126,7.683333333,7.363333333,1.1375,0.865,0.8,0.96,0.926666667,2.12,1.288,1.213333333,1.28,1.29,1.546666667,1.240833333,0.935,0.995,0.688333333,0.03475,0.04075,0.041333333,0.092,0.079,0.104,0.0962,0.131333333,0.2105,0.235333333,0.213333333,0.063,0.047,0.040833333,0.031833333,61.55,45.9,47.33333333,77.8,213.4,95.4,52.32,100.65,194.9666667,211.4333333,226.9666667,49.1,36.56,47.71666667,48.08333333,332.775,327.45,324.8,275.6,270.0333333,249.1,409.86,413.0666667,406.9666667,403.45,398.4,395.35,396.2,389.1666667,393.1333333,3.665,3.22,3.116666667,3.395,3.123333333,3.03,3.024,3.945,5.083333333,5.613333333,6.21,2.83,2.824,2.936666667,2.86,0.025,0.025,0.025,0.0265,0.027,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.0252,0.026666667,0.026166667,15.9119814
兰山嘴,2021/11/6,7289315,19.7,7.708333333,8.226666667,1.23,0.04,61.9,333.3,3.721666667,0.025,19.7,19.725,18.825,19.63333333,27.65,28.5,29.8,29.46,27.98333333,26.81666667,26.61666667,26.86666667,31.05,28.5,28,7.708333333,7.97,8.0925,8.346666667,8.285,8.57,7.41,7.696,7.678333333,7.678333333,7.631666667,7.7,8.83,8.148,8.095,8.226666667,8.7225,9.8925,10.47,8.25,9.79,6.5,6.624,6.831666667,7.173333333,7.016666667,7.026666667,11.95,8.126,7.683333333,1.23,1.1375,0.865,0.8,0.96,0.926666667,2.12,1.288,1.213333333,1.28,1.29,1.546666667,1.240833333,0.935,0.995,0.04,0.03475,0.04075,0.041333333,0.092,0.079,0.104,0.0962,0.131333333,0.2105,0.235333333,0.213333333,0.063,0.047,0.040833333,61.9,61.55,45.9,47.33333333,77.8,213.4,95.4,52.32,100.65,194.9666667,211.4333333,226.9666667,49.1,36.56,47.71666667,333.3,332.775,327.45,324.8,275.6,270.0333333,249.1,409.86,413.0666667,406.9666667,403.45,398.4,395.35,396.2,389.1666667,3.721666667,3.665,3.22,3.116666667,3.395,3.123333333,3.03,3.024,3.945,5.083333333,5.613333333,6.21,2.83,2.824,2.936666667,0.025,0.025,0.025,0.025,0.0265,0.027,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.0252,0.026666667,15.80192027
兰山嘴,2021/11/7,8833778,19.2,7.62,8.174,1.496,0.08,95.84,341.46,5.542,0.025,19.2,19.7,19.725,18.825,19.63333333,27.65,28.5,29.8,29.46,27.98333333,26.81666667,26.61666667,26.86666667,31.05,28.5,7.62,7.708333333,7.97,8.0925,8.346666667,8.285,8.57,7.41,7.696,7.678333333,7.678333333,7.631666667,7.7,8.83,8.148,8.174,8.226666667,8.7225,9.8925,10.47,8.25,9.79,6.5,6.624,6.831666667,7.173333333,7.016666667,7.026666667,11.95,8.126,1.496,1.23,1.1375,0.865,0.8,0.96,0.926666667,2.12,1.288,1.213333333,1.28,1.29,1.546666667,1.240833333,0.935,0.08,0.04,0.03475,0.04075,0.041333333,0.092,0.079,0.104,0.0962,0.131333333,0.2105,0.235333333,0.213333333,0.063,0.047,95.84,61.9,61.55,45.9,47.33333333,77.8,213.4,95.4,52.32,100.65,194.9666667,211.4333333,226.9666667,49.1,36.56,341.46,333.3,332.775,327.45,324.8,275.6,270.0333333,249.1,409.86,413.0666667,406.9666667,403.45,398.4,395.35,396.2,5.542,3.721666667,3.665,3.22,3.116666667,3.395,3.123333333,3.03,3.024,3.945,5.083333333,5.613333333,6.21,2.83,2.824,0.025,0.025,0.025,0.025,0.025,0.0265,0.027,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.0252,15.99409345
兰山嘴,2021/11/8,19500082,15.52,7.7,9.342,0.946,0.0762,159.2,306.46,4.834,0.025,15.52,19.2,19.7,19.725,18.825,19.63333333,27.65,28.5,29.8,29.46,27.98333333,26.81666667,26.61666667,26.86666667,31.05,7.7,7.62,7.708333333,7.97,8.0925,8.346666667,8.285,8.57,7.41,7.696,7.678333333,7.678333333,7.631666667,7.7,8.83,9.342,8.174,8.226666667,8.7225,9.8925,10.47,8.25,9.79,6.5,6.624,6.831666667,7.173333333,7.016666667,7.026666667,11.95,0.946,1.496,1.23,1.1375,0.865,0.8,0.96,0.926666667,2.12,1.288,1.213333333,1.28,1.29,1.546666667,1.240833333,0.0762,0.08,0.04,0.03475,0.04075,0.041333333,0.092,0.079,0.104,0.0962,0.131333333,0.2105,0.235333333,0.213333333,0.063,159.2,95.84,61.9,61.55,45.9,47.33333333,77.8,213.4,95.4,52.32,100.65,194.9666667,211.4333333,226.9666667,49.1,306.46,341.46,333.3,332.775,327.45,324.8,275.6,270.0333333,249.1,409.86,413.0666667,406.9666667,403.45,398.4,395.35,4.834,5.542,3.721666667,3.665,3.22,3.116666667,3.395,3.123333333,3.03,3.024,3.945,5.083333333,5.613333333,6.21,2.83,0.025,0.025,0.025,0.025,0.025,0.025,0.0265,0.027,0.025,0.025,0.025,0.025,0.025,0.025,0.025,16.78592928
