Station,Date,Cell,Temp,pH,DO,TN,TP,Turbidity,EC,CODMn,NH3N,Temp_lag3,Temp_lag7,Temp_lag12,Temp_lag18,Temp_lag24,Temp_lag30,pH_lag3,pH_lag7,pH_lag12,pH_lag18,pH_lag24,pH_lag30,DO_lag3,DO_lag7,DO_lag12,DO_lag18,DO_lag24,DO_lag30,TN_lag3,TN_lag7,TN_lag12,TN_lag18,TN_lag24,TN_lag30,TP_lag3,TP_lag7,TP_lag12,TP_lag18,TP_lag24,TP_lag30,Turbidity_lag3,Turbidity_lag7,Turbidity_lag12,Turbidity_lag18,Turbidity_lag24,Turbidity_lag30,EC_lag3,EC_lag7,EC_lag12,EC_lag18,EC_lag24,EC_lag30,CODMn_lag3,CODMn_lag7,CODMn_lag12,CODMn_lag18,CODMn_lag24,CODMn_lag30,NH3N_lag3,NH3N_lag7,NH3N_lag12,NH3N_lag18,NH3N_lag24,NH3N_lag30,y
兰山嘴,2021/11/28,27672300,12.96666667,7.998333333,11.15666667,1.393333333,0.013666667,83.73333333,427.55,3.505,0.025,13.05,15.52,19.63333333,26.81666667,27.58333333,28.15,7.695,7.7,8.346666667,7.678333333,8.135,8.79,9.965,9.342,10.47,7.173333333,7.363333333,8.32,0.63,0.946,0.8,1.28,0.688333333,0.705,0.033,0.0762,0.041333333,0.2105,0.031833333,0.0655,49.7,159.2,47.33333333,194.9666667,48.08333333,51.5,311.05,306.46,324.8,406.9666667,393.1333333,405.05,2.76,4.834,3.116666667,5.083333333,2.86,3.49,0.025,0.025,0.025,0.025,0.026166667,0.025,17.13594251
兰山嘴,2021/11/29,9367822.5,13.575,8.045,10.8775,1.2775,0.01,41.775,424.775,3.37,0.025,13.56666667,13.78,18.825,27.98333333,28,27.73333333,8.803333333,7.842,8.0925,7.678333333,8.095,8.655,14,9.638,9.8925,6.831666667,7.683333333,7.3,1.156666667,0.876,0.865,1.213333333,0.995,0.711666667,0.012333333,0.0456,0.04075,0.131333333,0.040833333,0.064666667,31.3,110.88,45.9,100.65,47.71666667,57.3,405.2,298.94,327.45,413.0666667,389.1666667,401.2,3.183333333,3.88,3.22,3.945,2.936666667,3.258333333,0.025,0.025,0.025,0.025,0.026666667,0.027666667,16.05279134
兰山嘴,2021/11/30,12508417.5,13.025,8.2375,10.7325,1.435,0.036,127.9,407.825,4.995,0.025,12.71666667,13.16,19.725,29.46,28.5,26.48333333,8.41,7.606,7.97,7.696,8.148,8.515,12.43,9.734,8.7225,6.624,8.126,7.181666667,1.131666667,0.68,1.1375,1.288,0.935,0.713333333,0.013833333,0.0472,0.03475,0.0962,0.047,0.073666667,92.7,101.62,61.55,52.32,36.56,54.05,418.3666667,308.48,332.775,409.86,396.2,398.8,3.326666667,3.27,3.665,3.024,2.824,3.436666667,0.025,0.025,0.025,0.025,0.0252,0.035833333,16.34191246
兰山嘴,2021/12/1,10606232.5,11.3,7.61,10.465,0.8175,0.0205,110.225,329.325,3.3425,0.025,12.96666667,13.04,19.7,29.8,31.05,26.3,7.998333333,7.63,7.708333333,7.41,8.83,8.5825,11.15666667,9.916,8.226666667,6.5,11.95,7.5025,1.393333333,0.64,1.23,2.12,1.240833333,0.6825,0.013666667,0.0408,0.04,0.104,0.063,0.06825,83.73333333,87.86,61.9,95.4,49.1,34.575,427.55,311.1,333.3,249.1,395.35,403,3.505,3.066,3.721666667,3.03,2.83,3.01,0.025,0.025,0.025,0.025,0.025,0.025,16.17695245
兰山嘴,2021/12/2,8363636.667,10.66666667,7.573333333,10.51,0.693333333,0.017666667,84.13333333,328.3666667,3.44,0.025,13.575,13.05,19.2,28.5,26.86666667,28.53333333,8.045,7.695,7.62,8.57,7.7,8.476666667,10.8775,9.965,8.174,9.79,7.026666667,8.553333333,1.2775,0.63,1.496,0.926666667,1.546666667,0.413333333,0.01,0.033,0.08,0.079,0.213333333,0.026333333,41.775,49.7,95.84,213.4,226.9666667,43.33333333,424.775,311.05,341.46,270.0333333,398.4,400.6,3.37,2.76,5.542,3.123333333,6.21,2.616666667,0.025,0.025,0.025,0.027,0.025,0.028333333,15.93940402
兰山嘴,2021/12/3,4048070,10.9,7.7,10.63,0.65,0.03,85.4,325.2,4.38,0.025,13.025,13.56666667,15.52,27.65,26.61666667,28.15,8.2375,8.803333333,7.7,8.285,7.631666667,8.256666667,10.7325,14,9.342,8.25,7.016666667,7.731666667,1.435,1.156666667,0.946,0.96,1.29,0.873333333,0.036,0.012333333,0.0762,0.092,0.235333333,0.034333333,127.9,31.3,159.2,77.8,211.4333333,52.21666667,407.825,405.2,306.46,275.6,403.45,393.7333333,4.995,3.183333333,4.834,3.395,5.613333333,2.886666667,0.025,0.025,0.025,0.0265,0.025,0.029,15.21375103
兰山嘴,2021/12/7,14437600,12.25,8.76,12.615,1.05,0.0235,25.75,395.6,2.56,0.027,11.3,12.71666667,13.78,19.63333333,26.81666667,27.58333333,7.61,8.41,7.842,8.346666667,7.678333333,8.135,10.465,12.43,9.638,10.47,7.173333333,7.363333333,0.8175,1.131666667,0.876,0.8,1.28,0.688333333,0.0205,0.013833333,0.0456,0.041333333,0.2105,0.031833333,110.225,92.7,110.88,47.33333333,194.9666667,48.08333333,329.325,418.3666667,298.94,324.8,406.9666667,393.1333333,3.3425,3.326666667,3.88,3.116666667,5.083333333,2.86,0.025,0.025,0.025,0.025,0.025,0.026166667,16.48534654
兰山嘴,2021/12/8,30082450,11.5,8.655,12.3825,1,0.02425,75.3,407.65,2.8025,0.03325,10.66666667,12.96666667,13.16,18.825,27.98333333,28,7.573333333,7.998333333,7.606,8.0925,7.678333333,8.095,10.51,11.15666667,9.734,9.8925,6.831666667,7.683333333,0.693333333,1.393333333,0.68,0.865,1.213333333,0.995,0.017666667,0.013666667,0.0472,0.04075,0.131333333,0.040833333,84.13333333,83.73333333,101.62,45.9,100.65,47.71666667,328.3666667,427.55,308.48,327.45,413.0666667,389.1666667,3.44,3.505,3.27,3.22,3.945,2.936666667,0.025,0.025,0.025,0.025,0.025,0.026666667,17.21945254
兰山嘴,2021/12/9,30177825,11.675,8.625,11.975,0.9625,0.023,76.425,399.675,2.7225,0.036,10.9,13.575,13.04,19.725,29.46,28.5,7.7,8.045,7.63,7.97,7.696,8.148,10.63,10.8775,9.916,8.7225,6.624,8.126,0.65,1.2775,0.64,1.1375,1.288,0.935,0.03,0.01,0.0408,0.03475,0.0962,0.047,85.4,41.775,87.86,61.55,52.32,36.56,325.2,424.775,311.1,332.775,409.86,396.2,4.38,3.37,3.066,3.665,3.024,2.824,0.025,0.025,0.025,0.025,0.025,0.0252,17.22261797
兰山嘴,2021/12/10,6291665,12.8,8.75,11.555,1.06,0.0235,15.8,434.1,2.715,0.044,12.25,13.025,13.05,19.7,29.8,31.05,8.76,8.2375,7.695,7.708333333,7.41,8.83,12.615,10.7325,9.965,8.226666667,6.5,11.95,1.05,1.435,0.63,1.23,2.12,1.240833333,0.0235,0.036,0.033,0.04,0.104,0.063,25.75,127.9,49.7,61.9,95.4,49.1,395.6,407.825,311.05,333.3,249.1,395.35,2.56,4.995,2.76,3.721666667,3.03,2.83,0.027,0.025,0.025,0.025,0.025,0.025,15.65473646
