Station,Date,Cell,Temp,pH,DO,TN,TP,Turbidity,EC,CODMn,NH3N,Temp_lag0,Temp_lag1,Temp_lag2,Temp_lag3,Temp_lag4,Temp_lag5,Temp_lag6,Temp_lag7,pH_lag0,pH_lag1,pH_lag2,pH_lag3,pH_lag4,pH_lag5,pH_lag6,pH_lag7,DO_lag0,DO_lag1,DO_lag2,DO_lag3,DO_lag4,DO_lag5,DO_lag6,DO_lag7,TN_lag0,TN_lag1,TN_lag2,TN_lag3,TN_lag4,TN_lag5,TN_lag6,TN_lag7,TP_lag0,TP_lag1,TP_lag2,TP_lag3,TP_lag4,TP_lag5,TP_lag6,TP_lag7,Turbidity_lag0,Turbidity_lag1,Turbidity_lag2,Turbidity_lag3,Turbidity_lag4,Turbidity_lag5,Turbidity_lag6,Turbidity_lag7,EC_lag0,EC_lag1,EC_lag2,EC_lag3,EC_lag4,EC_lag5,EC_lag6,EC_lag7,CODMn_lag0,CODMn_lag1,CODMn_lag2,CODMn_lag3,CODMn_lag4,CODMn_lag5,CODMn_lag6,CODMn_lag7,NH3N_lag0,NH3N_lag1,NH3N_lag2,NH3N_lag3,NH3N_lag4,NH3N_lag5,NH3N_lag6,NH3N_lag7,y
兰山嘴,2021-07-05,13278316.67,28.0,8.095,7.683333333,0.995,0.040833333,47.71666667,389.1666667,2.936666667,0.026666667,28.0,27.58333333,28.15,28.53333333,26.3,26.48333333,27.73333333,28.15,8.095,8.135,8.256666667,8.476666667,8.5825,8.515,8.655,8.79,7.683333333,7.363333333,7.731666667,8.553333333,7.5025,7.181666667,7.3,8.32,0.995,0.688333333,0.873333333,0.413333333,0.6825,0.713333333,0.711666667,0.705,0.040833333,0.031833333,0.034333333,0.026333333,0.06825,0.073666667,0.064666667,0.0655,47.71666667,48.08333333,52.21666667,43.33333333,34.575,54.05,57.3,51.5,389.1666667,393.1333333,393.7333333,400.6,403.0,398.8,401.2,405.05,2.936666667,2.86,2.886666667,2.616666667,3.01,3.436666667,3.258333333,3.49,0.026666667,0.026166667,0.029,0.028333333,0.025,0.035833333,0.027666667,0.025,16.401643012511883
兰山嘴,2021-07-06,14391680.0,28.5,8.148,8.126,0.935,0.047,36.56,396.2,2.824,0.0252,28.5,28.0,27.58333333,28.15,28.53333333,26.3,26.48333333,27.73333333,8.148,8.095,8.135,8.256666667,8.476666667,8.5825,8.515,8.655,8.126,7.683333333,7.363333333,7.731666667,8.553333333,7.5025,7.181666667,7.3,0.935,0.995,0.688333333,0.873333333,0.413333333,0.6825,0.713333333,0.711666667,0.047,0.040833333,0.031833333,0.034333333,0.026333333,0.06825,0.073666667,0.064666667,36.56,47.71666667,48.08333333,52.21666667,43.33333333,34.575,54.05,57.3,396.2,389.1666667,393.1333333,393.7333333,400.6,403.0,398.8,401.2,2.824,2.936666667,2.86,2.886666667,2.616666667,3.01,3.436666667,3.258333333,0.0252,0.026666667,0.026166667,0.029,0.028333333,0.025,0.035833333,0.027666667,16.48216088927514
兰山嘴,2021-07-07,33432750.0,31.05,8.83,11.95,1.240833333,0.063,49.1,395.35,2.83,0.025,31.05,28.5,28.0,27.58333333,28.15,28.53333333,26.3,26.48333333,8.83,8.148,8.095,8.135,8.256666667,8.476666667,8.5825,8.515,11.95,8.126,7.683333333,7.363333333,7.731666667,8.553333333,7.5025,7.181666667,1.240833333,0.935,0.995,0.688333333,0.873333333,0.413333333,0.6825,0.713333333,0.063,0.047,0.040833333,0.031833333,0.034333333,0.026333333,0.06825,0.073666667,49.1,36.56,47.71666667,48.08333333,52.21666667,43.33333333,34.575,54.05,395.35,396.2,389.1666667,393.1333333,393.7333333,400.6,403.0,398.8,2.83,2.824,2.936666667,2.86,2.886666667,2.616666667,3.01,3.436666667,0.025,0.0252,0.026666667,0.026166667,0.029,0.028333333,0.025,0.035833333,17.325046546365606
兰山嘴,2021-07-26,24794233.33,26.86666667,7.7,7.026666667,1.546666667,0.213333333,226.9666667,398.4,6.21,0.025,26.86666667,31.05,28.5,28.0,27.58333333,28.15,28.53333333,26.3,7.7,8.83,8.148,8.095,8.135,8.256666667,8.476666667,8.5825,7.026666667,11.95,8.126,7.683333333,7.363333333,7.731666667,8.553333333,7.5025,1.546666667,1.240833333,0.935,0.995,0.688333333,0.873333333,0.413333333,0.6825,0.213333333,0.063,0.047,0.040833333,0.031833333,0.034333333,0.026333333,0.06825,226.9666667,49.1,36.56,47.71666667,48.08333333,52.21666667,43.33333333,34.575,398.4,395.35,396.2,389.1666667,393.1333333,393.7333333,400.6,403.0,6.21,2.83,2.824,2.936666667,2.86,2.886666667,2.616666667,3.01,0.025,0.025,0.0252,0.026666667,0.026166667,0.029,0.028333333,0.025,17.026121697412442
兰山嘴,2021-07-27,17002516.67,26.61666667,7.631666667,7.016666667,1.29,0.235333333,211.4333333,403.45,5.613333333,0.025,26.61666667,26.86666667,31.05,28.5,28.0,27.58333333,28.15,28.53333333,7.631666667,7.7,8.83,8.148,8.095,8.135,8.256666667,8.476666667,7.016666667,7.026666667,11.95,8.126,7.683333333,7.363333333,7.731666667,8.553333333,1.29,1.546666667,1.240833333,0.935,0.995,0.688333333,0.873333333,0.413333333,0.235333333,0.213333333,0.063,0.047,0.040833333,0.031833333,0.034333333,0.026333333,211.4333333,226.9666667,49.1,36.56,47.71666667,48.08333333,52.21666667,43.33333333,403.45,398.4,395.35,396.2,389.1666667,393.1333333,393.7333333,400.6,5.613333333,6.21,2.83,2.824,2.936666667,2.86,2.886666667,2.616666667,0.025,0.025,0.025,0.0252,0.026666667,0.026166667,0.029,0.028333333,16.648871989290324
兰山嘴,2021-07-28,19396533.33,26.81666667,7.678333333,7.173333333,1.28,0.2105,194.9666667,406.9666667,5.083333333,0.025,26.81666667,26.61666667,26.86666667,31.05,28.5,28.0,27.58333333,28.15,7.678333333,7.631666667,7.7,8.83,8.148,8.095,8.135,8.256666667,7.173333333,7.016666667,7.026666667,11.95,8.126,7.683333333,7.363333333,7.731666667,1.28,1.29,1.546666667,1.240833333,0.935,0.995,0.688333333,0.873333333,0.2105,0.235333333,0.213333333,0.063,0.047,0.040833333,0.031833333,0.034333333,194.9666667,211.4333333,226.9666667,49.1,36.56,47.71666667,48.08333333,52.21666667,406.9666667,403.45,398.4,395.35,396.2,389.1666667,393.1333333,393.7333333,5.083333333,5.613333333,6.21,2.83,2.824,2.936666667,2.86,2.886666667,0.025,0.025,0.025,0.025,0.0252,0.026666667,0.026166667,0.029,16.780604965291527
兰山嘴,2021-07-29,10406878.33,27.98333333,7.678333333,6.831666667,1.213333333,0.131333333,100.65,413.0666667,3.945,0.025,27.98333333,26.81666667,26.61666667,26.86666667,31.05,28.5,28.0,27.58333333,7.678333333,7.678333333,7.631666667,7.7,8.83,8.148,8.095,8.135,6.831666667,7.173333333,7.016666667,7.026666667,11.95,8.126,7.683333333,7.363333333,1.213333333,1.28,1.29,1.546666667,1.240833333,0.935,0.995,0.688333333,0.131333333,0.2105,0.235333333,0.213333333,0.063,0.047,0.040833333,0.031833333,100.65,194.9666667,211.4333333,226.9666667,49.1,36.56,47.71666667,48.08333333,413.0666667,406.9666667,403.45,398.4,395.35,396.2,389.1666667,393.1333333,3.945,5.083333333,5.613333333,6.21,2.83,2.824,2.936666667,2.86,0.025,0.025,0.025,0.025,0.025,0.0252,0.026666667,0.026166667,16.15797761947254
兰山嘴,2021-07-30,6948348.0,29.46,7.696,6.624,1.288,0.0962,52.32,409.86,3.024,0.025,29.46,27.98333333,26.81666667,26.61666667,26.86666667,31.05,28.5,28.0,7.696,7.678333333,7.678333333,7.631666667,7.7,8.83,8.148,8.095,6.624,6.831666667,7.173333333,7.016666667,7.026666667,11.95,8.126,7.683333333,1.288,1.213333333,1.28,1.29,1.546666667,1.240833333,0.935,0.995,0.0962,0.131333333,0.2105,0.235333333,0.213333333,0.063,0.047,0.040833333,52.32,100.65,194.9666667,211.4333333,226.9666667,49.1,36.56,47.71666667,409.86,413.0666667,406.9666667,403.45,398.4,395.35,396.2,389.1666667,3.024,3.945,5.083333333,5.613333333,6.21,2.83,2.824,2.936666667,0.025,0.025,0.025,0.025,0.025,0.025,0.0252,0.026666667,15.75401463536373
兰山嘴,2021-08-06,7720880.0,29.8,7.41,6.5,2.12,0.104,95.4,249.1,3.03,0.025,29.8,29.46,27.98333333,26.81666667,26.61666667,26.86666667,31.05,28.5,7.41,7.696,7.678333333,7.678333333,7.631666667,7.7,8.83,8.148,6.5,6.624,6.831666667,7.173333333,7.016666667,7.026666667,11.95,8.126,2.12,1.288,1.213333333,1.28,1.29,1.546666667,1.240833333,0.935,0.104,0.0962,0.131333333,0.2105,0.235333333,0.213333333,0.063,0.047,95.4,52.32,100.65,194.9666667,211.4333333,226.9666667,49.1,36.56,249.1,409.86,413.0666667,406.9666667,403.45,398.4,395.35,396.2,3.03,3.024,3.945,5.083333333,5.613333333,6.21,2.83,2.824,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.0252,15.859439034660847
兰山嘴,2021-09-23,15682136.67,28.5,8.57,9.79,0.926666667,0.079,213.4,270.0333333,3.123333333,0.027,28.5,29.8,29.46,27.98333333,26.81666667,26.61666667,26.86666667,31.05,8.57,7.41,7.696,7.678333333,7.678333333,7.631666667,7.7,8.83,9.79,6.5,6.624,6.831666667,7.173333333,7.016666667,7.026666667,11.95,0.926666667,2.12,1.288,1.213333333,1.28,1.29,1.546666667,1.240833333,0.079,0.104,0.0962,0.131333333,0.2105,0.235333333,0.213333333,0.063,213.4,95.4,52.32,100.65,194.9666667,211.4333333,226.9666667,49.1,270.0333333,249.1,409.86,413.0666667,406.9666667,403.45,398.4,395.35,3.123333333,3.03,3.024,3.945,5.083333333,5.613333333,6.21,2.83,0.027,0.025,0.025,0.025,0.025,0.025,0.025,0.025,16.56803289458921
