断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况,数据时间
沙渚,2021/6/17 8:00,Ⅱ,27.1,7.88,6.28,577.7,78.2,3.39,0.15,0.005,--,0.023,*,维护,2021_06_17_13h09m
陈东港,2021/6/17 8:00,Ⅲ,27.8,7.41,6.12,432.3,76.4,3.45,0.074,0.153,2.33,*,*,正常,2021_06_17_13h09m
锡东水厂,2021/6/17 12:00,Ⅳ,27.6,8.24,6.57,468,48.3,3.59,0.052,0.073,0.72,0.005,1313090,正常,2021_06_17_13h09m
兰山嘴,2021/6/17 12:00,Ⅳ,27.8,8.67,7.14,407.5,55.8,3.55,0.025,0.07,0.73,0.006,19077900,正常,2021_06_17_13h09m
拖山,2021/6/17 12:00,Ⅳ,27.4,7.98,6.33,478.5,61.4,4.06,0.042,0.084,0.82,0.004,20064510,正常,2021_06_17_13h09m
落蓬湾,2021/6/17 12:00,Ⅳ,27.8,7.31,4.69,281.6,83.9,4.89,0.185,0.074,1.08,*,*,正常,2021_06_17_13h09m
兰山嘴(老),2021/6/17 8:00,Ⅳ,28.4,7.63,4.6,393.8,118,3.97,0.24,0.178,3.41,0.071,*,正常,2021_06_17_13h09m
西山,2021/6/17 8:00,Ⅲ,29.4,6.68,5.97,462.8,49.6,1.92,0.2,0.04,0.74,0.005,*,正常,2021_06_17_13h09m
汤溇,2021/6/17 8:00,Ⅴ,28,6.98,2.5,453.4,69,3.98,0.112,0.122,3.31,*,*,正常,2021_06_17_13h09m
小梅口,2021/6/17 8:00,Ⅴ,27.8,6.63,2.39,234.2,51.3,3.45,0.164,0.078,2.94,*,*,正常,2021_06_17_13h09m
沙渚,2021/6/17 8:00,Ⅱ,27.1,7.88,6.28,577.7,78.2,3.39,0.15,0.005,--,0.023,*,维护,2021_06_17_13h34m
陈东港,2021/6/17 8:00,Ⅲ,27.8,7.41,6.12,432.3,76.4,3.45,0.074,0.153,2.33,*,*,正常,2021_06_17_13h34m
锡东水厂,2021/6/17 12:00,Ⅳ,27.6,8.24,6.57,468,48.3,3.59,0.052,0.073,0.72,0.005,1313090,正常,2021_06_17_13h34m
兰山嘴,2021/6/17 12:00,Ⅳ,27.8,8.67,7.14,407.5,55.8,3.43,0.025,0.07,0.73,0.006,19077900,正常,2021_06_17_13h34m
拖山,2021/6/17 12:00,Ⅳ,27.4,7.98,6.33,478.5,61.4,3.59,0.042,0.078,0.82,0.004,20064510,正常,2021_06_17_13h34m
落蓬湾,2021/6/17 12:00,Ⅳ,27.8,7.31,4.69,281.6,83.9,4.89,0.185,0.074,1.08,*,*,正常,2021_06_17_13h34m
兰山嘴(老),2021/6/17 8:00,Ⅳ,28.4,7.63,4.6,393.8,118,3.97,0.24,0.178,3.41,0.071,*,正常,2021_06_17_13h34m
西山,2021/6/17 8:00,Ⅲ,29.4,6.68,5.97,462.8,49.6,1.92,0.2,0.04,0.74,0.005,*,正常,2021_06_17_13h34m
汤溇,2021/6/17 8:00,Ⅴ,28,6.98,2.5,453.4,69,3.98,0.112,0.122,3.31,*,*,正常,2021_06_17_13h34m
小梅口,2021/6/17 8:00,Ⅴ,27.8,6.63,2.39,234.2,51.3,3.45,0.164,0.078,2.94,*,*,正常,2021_06_17_13h34m
沙渚,2021/6/17 12:00,Ⅱ,26.5,7.85,6.43,585.1,63.1,3.42,0.22,0.061,2.02,0.02,*,正常,2021_06_17_16h52m
陈东港,2021/6/17 12:00,Ⅲ,27.6,7.49,6.4,427.6,90.4,3.45,0.115,0.187,2.58,*,*,正常,2021_06_17_16h52m
锡东水厂,2021/6/17 16:00,Ⅳ,27.8,8.42,7.26,468.2,44.8,3.36,0.063,0.07,0.87,0.006,1744480,正常,2021_06_17_16h52m
兰山嘴,2021/6/17 16:00,Ⅳ,28.5,8.91,9.5,402.6,47.2,3.43,0.025,0.061,0.68,0.007,18366600,正常,2021_06_17_16h52m
拖山,2021/6/17 16:00,Ⅳ,27.8,8.47,8.53,468,111.7,3.59,0.025,0.056,0.65,0.007,135293800,正常,2021_06_17_16h52m
落蓬湾,2021/6/17 16:00,,27.9,7.26,4.61,285.2,80.1,4.67,0.178,--,1.08,*,*,维护,2021_06_17_16h52m
兰山嘴(老),2021/6/17 12:00,Ⅳ,28.4,7.67,4.88,389.1,94.1,3.91,0.258,0.17,3.3,0.057,*,正常,2021_06_17_16h52m
西山,2021/6/17 12:00,Ⅲ,29.4,6.86,6.38,461.7,53.9,1.95,0.19,0.043,0.61,0.004,*,正常,2021_06_17_16h52m
汤溇,2021/6/17 12:00,Ⅴ,28.1,6.97,2.43,451.4,54.3,4.08,0.146,0.107,3.64,*,*,正常,2021_06_17_16h52m
小梅口,2021/6/17 12:00,Ⅴ,27.8,6.62,2.67,213.8,61.4,3.92,0.126,0.081,3.12,*,*,正常,2021_06_17_16h52m
沙渚,2021/6/17 16:00,Ⅱ,27.5,7.83,6.07,581.5,50.9,3.02,0.22,0.065,0.49,0.019,*,正常,2021_06_17_19h53m
陈东港,2021/6/17 16:00,Ⅲ,27.8,7.62,10.6,424.4,80.7,3.83,0.102,0.177,2.56,*,*,正常,2021_06_17_19h53m
锡东水厂,2021/6/17 16:00,Ⅳ,27.8,8.42,7.26,468.2,44.8,3.76,0.053,0.066,0.79,0.006,1744480,正常,2021_06_17_19h53m
兰山嘴,2021/6/17 16:00,Ⅳ,28.5,8.91,9.5,402.6,47.2,3.11,0.025,0.061,0.68,0.007,18366600,正常,2021_06_17_19h53m
拖山,2021/6/17 16:00,Ⅳ,27.8,8.47,8.53,468,111.7,3.01,0.025,0.056,0.65,0.007,135293800,正常,2021_06_17_19h53m
落蓬湾,2021/6/17 16:00,Ⅳ,27.9,7.26,4.61,285.2,80.1,5.04,0.235,0.075,--,*,*,维护,2021_06_17_19h53m
兰山嘴(老),2021/6/17 16:00,Ⅳ,28.7,7.53,4.19,389.2,72.9,3.82,0.318,0.154,3.12,0.041,*,正常,2021_06_17_19h53m
西山,2021/6/17 16:00,Ⅲ,29.6,7.04,7.31,459.8,45.5,1.93,0.18,0.038,0.74,0.005,*,正常,2021_06_17_19h53m
汤溇,2021/6/17 16:00,Ⅴ,28.4,6.97,2.64,451.9,47.6,4.08,0.1,0.1,3.46,*,*,正常,2021_06_17_19h53m
小梅口,2021/6/17 16:00,Ⅳ,28.1,6.63,3.29,196.6,41.7,3.18,0.081,0.074,3.6,*,*,正常,2021_06_17_19h53m
沙渚,2021/6/17 20:00,Ⅱ,27.6,7.9,6.35,587.4,54.4,1.85,0.17,0.061,0.71,0.019,*,正常,2021_06_18_02h17m
陈东港,2021/6/17 20:00,Ⅲ,27.8,7.6,6.91,406.2,77.5,3.66,0.092,0.173,2.42,*,*,正常,2021_06_18_02h17m
锡东水厂,2021/6/18 0:00,Ⅳ,27.8,8.38,6.86,468.8,42.9,3.37,0.056,0.064,0.76,0.005,1180640,正常,2021_06_18_02h17m
兰山嘴,2021/6/18 0:00,Ⅳ,28,8.68,7.24,403.9,37.2,3.08,0.025,0.055,0.68,0.007,5635800,正常,2021_06_18_02h17m
拖山,2021/6/18 0:00,Ⅲ,27.5,8.12,6.79,473.6,38.6,3.31,0.025,0.049,0.39,0.004,11261410,正常,2021_06_18_02h17m
落蓬湾,2021/6/18 0:00,Ⅳ,27.4,7.29,4.5,285.8,148.7,5.04,0.235,0.075,--,*,*,维护,2021_06_18_02h17m
兰山嘴(老),2021/6/17 20:00,Ⅲ,28.9,7.56,5,378.2,51.5,3.64,0.307,0.135,2.19,0.044,*,正常,2021_06_18_02h17m
西山,2021/6/17 20:00,Ⅲ,30.2,7.27,8.62,459.1,55.7,2.08,0.19,0.039,0.62,0.005,*,正常,2021_06_18_02h17m
汤溇,2021/6/17 20:00,Ⅳ,28.5,7,3.02,450.3,40.2,3.65,0.094,0.097,3.3,*,*,正常,2021_06_18_02h17m
小梅口,2021/6/17 20:00,Ⅳ,28.1,6.62,3.19,189.2,40.3,3.2,0.058,0.076,3.36,*,*,正常,2021_06_18_02h17m
沙渚,2021/6/18 0:00,Ⅱ,27.4,7.92,6.43,590.3,39.5,2.15,0.24,0.056,0.32,0.02,*,正常,2021_06_18_05h17m
陈东港,2021/6/18 0:00,Ⅲ,27.6,7.53,6.05,400.6,75.3,3.62,0.104,0.172,2.47,*,*,正常,2021_06_18_05h17m
锡东水厂,2021/6/18 4:00,Ⅳ,27.6,8.18,6.26,478.2,44.3,3.65,0.059,0.065,0.74,--,--,维护,2021_06_18_05h17m
兰山嘴,2021/6/18 4:00,Ⅳ,27.8,8.62,6.72,403.4,95.7,3.07,0.025,0.051,0.63,0.009,42555400,正常,2021_06_18_05h17m
拖山,2021/6/18 4:00,Ⅲ,27.5,8.03,6.15,473.3,35.2,2.78,0.025,0.047,0.42,0.003,10919240,正常,2021_06_18_05h17m
落蓬湾,2021/6/18 4:00,Ⅳ,27.3,7.27,4.11,286.9,130.5,4.44,0.095,0.076,2.41,*,*,正常,2021_06_18_05h17m
兰山嘴(老),2021/6/18 0:00,Ⅳ,28.7,7.55,4.78,383,44.2,3.56,0.285,0.124,1.73,0.041,*,正常,2021_06_18_05h17m
西山,2021/6/18 0:00,Ⅲ,30,7.15,7.82,459.4,64.5,2.2,0.18,0.038,0.68,0.007,*,正常,2021_06_18_05h17m
汤溇,2021/6/18 0:00,Ⅲ,28.9,7.3,5.4,435.4,30.6,3.43,0.106,0.072,2.85,*,*,正常,2021_06_18_05h17m
小梅口,2021/6/18 0:00,Ⅳ,28,6.6,3.1,188.3,44.8,3.22,0.05,0.072,3.37,*,*,正常,2021_06_18_05h17m
